mp-ids,K_VRH
mp-12761,137.0
mp-12855,44.0
mp-12899,92.0
mp-12927,98.0
mp-13010,58.0
mp-13203,84.0
mp-13270,48.0
mp-1336,159.0
mp-13436,126.0
mp-13463,210.0
mp-1364,78.0
mp-13725,70.0
mp-13868,35.0
mp-13964,95.0
mp-1415,44.0
mp-1425,199.0
mp-1437,35.0
mp-1438,266.0
mp-14791,48.0
mp-14793,99.0
mp-1500,41.0
mp-1513,130.0
mp-1518,154.0
mp-1522,150.0
mp-1534,127.0
mp-1558,80.0
mp-15795,39.0
mp-15885,42.0
mp-15968,145.0
mp-1602,6.0
mp-1603,66.0
mp-16032,67.0
mp-1606,175.0
mp-16314,100.0
mp-16337,24.0
mp-16342,82.0
mp-1640,64.0
mp-16483,79.0
mp-1670,168.0
mp-16745,71.0
mp-16764,27.0
mp-1684,114.0
mp-1709,130.0
mp-17092,102.0
mp-17639,81.0
mp-18105,9.0
mp-1849,194.0
mp-1885,229.0
mp-18850,139.0
mp-1903,51.0
mp-1914,73.0
mp-1926,86.0
mp-19420,127.0
mp-19740,101.0
mp-19746,69.0
mp-19816,45.0
mp-19850,195.0
mp-1994,251.0
mp-19963,181.0
mp-20059,99.0
mp-2008,134.0
mp-2014,84.0
mp-20261,42.0
mp-2030,131.0
mp-20338,121.0
mp-20353,61.0
mp-20400,111.0
mp-20456,95.0
mp-20686,55.0
mp-2070,124.0
mp-20725,116.0
mp-20805,65.0
mp-20841,109.0
mp-20865,68.0
mp-20928,116.0
mp-20941,64.0
mp-20998,13.0
mp-21026,72.0
mp-21171,190.0
mp-21188,73.0
mp-21198,69.0
mp-2128,56.0
mp-21290,97.0
mp-2130,109.0
mp-2134,79.0
mp-2143,78.0
mp-21468,28.0
mp-21484,59.0
mp-21503,54.0
mp-22120,197.0
mp-22300,168.0
mp-22307,141.0
mp-22344,110.0
mp-2235,131.0
mp-22384,102.0
mp-22460,40.0
mp-22607,27.0
mp-22609,55.0
mp-22646,128.0
mp-22759,335.0
mp-22862,23.0
mp-22947,12.0
mp-22956,13.0
mp-22977,14.0
mp-22978,20.0
mp-2301,115.0
mp-23183,34.0
mp-23205,8.0
mp-23221,26.0
mp-23222,28.0
mp-2327,79.0
mp-23471,15.0
mp-23856,14.0
mp-23870,22.0
mp-2406,62.0
mp-24151,83.0
mp-2444,180.0
mp-24504,1.0
mp-246,104.0
mp-2470,98.0
mp-2472,87.0
mp-2493,146.0
mp-2510,102.0
mp-2517,37.0
mp-2534,61.0
mp-255,17.0
mp-2598,107.0
mp-2646,42.0
mp-2672,32.0
mp-2694,55.0
mp-2695,129.0
mp-2706,36.0
mp-27396,12.0
mp-27425,40.0
mp-2750,41.0
mp-2776,73.0
mp-27768,339.0
mp-27839,12.0
mp-27861,193.0
mp-279,144.0
mp-27934,10.0
mp-27984,69.0
mp-28232,162.0
mp-2825,134.0
mp-28480,26.0
mp-28591,15.0
mp-28782,24.0
mp-2894,90.0
mp-28980,12.0
mp-2935,42.0
mp-29403,5.0
mp-2949,90.0
mp-295,74.0
mp-29596,93.0
mp-2961,72.0
mp-2965,124.0
mp-3006,7.0
mp-30139,1.0
mp-30178,100.0
mp-30344,27.0
mp-30381,43.0
mp-30435,27.0
mp-30437,67.0
mp-30459,89.0
mp-30472,50.0
mp-30490,40.0
mp-30555,202.0
mp-30581,123.0
mp-30672,118.0
mp-30683,100.0
mp-30805,56.0
mp-30834,56.0
mp-30871,179.0
mp-31053,12.0
mp-31144,54.0
mp-31212,47.0
mp-31330,89.0
mp-31339,118.0
mp-31441,81.0
mp-3161,63.0
mp-3164,52.0
mp-3194,86.0
mp-32887,15.0
mp-33137,256.0
mp-3345,73.0
mp-3348,162.0
mp-3433,123.0
mp-3472,40.0
mp-3576,174.0
mp-3579,81.0
mp-3679,96.0
mp-36884,128.0
mp-37614,203.0
mp-3762,39.0
mp-378,95.0
mp-3799,89.0
mp-4043,33.0
mp-4056,144.0
mp-4138,24.0
mp-4408,162.0
mp-4536,128.0
mp-4584,21.0
mp-4633,107.0
mp-473,13.0
mp-4738,64.0
mp-4881,129.0
mp-4897,124.0
mp-4998,129.0
mp-5046,36.0
mp-504723,122.0
mp-505527,142.0
mp-505782,22.0
mp-5078,61.0
mp-5251,67.0
mp-5274,157.0
mp-5305,67.0
mp-5309,30.0
mp-541289,66.0
mp-541449,14.0
mp-542,81.0
mp-542172,46.0
mp-5431,39.0
mp-545529,58.0
mp-546011,75.0
mp-546125,141.0
mp-546152,63.0
mp-5489,132.0
mp-549490,139.0
mp-5504,50.0
mp-553308,66.0
mp-5556,162.0
mp-555970,108.0
mp-556939,27.0
mp-557397,10.0
mp-557483,52.0
mp-557938,75.0
mp-559051,106.0
mp-560663,50.0
mp-560902,85.0
mp-5615,53.0
mp-561543,8.0
mp-5625,48.0
mp-567314,90.0
mp-567588,101.0
mp-567601,51.0
mp-567749,166.0
mp-567750,190.0
mp-567842,137.0
mp-568077,228.0
mp-568346,38.0
mp-568662,28.0
mp-568803,229.0
mp-568827,144.0
mp-568895,45.0
mp-568920,99.0
mp-569298,83.0
mp-569558,118.0
mp-569697,115.0
mp-570102,176.0
mp-571122,9.0
mp-571264,42.0
mp-5784,53.0
mp-5788,84.0
mp-5848,72.0
mp-5915,21.0
mp-5948,131.0
mp-5967,142.0
mp-605,11.0
mp-6102,178.0
mp-632,118.0
mp-634676,14.0
mp-643264,54.0
mp-668,68.0
mp-669917,156.0
mp-682,48.0
mp-685194,108.0
mp-685991,35.0
mp-6938,173.0
mp-697133,3.0
mp-6996,175.0
mp-7088,256.0
mp-7089,23.0
mp-7104,117.0
mp-7375,103.0
mp-7431,42.0
mp-7432,37.0
mp-753671,54.0
mp-753721,116.0
mp-754534,88.0
mp-754875,174.0
mp-755263,29.0
mp-755287,103.0
mp-755478,101.0
mp-7559,156.0
mp-7568,73.0
mp-7601,163.0
mp-760483,105.0
mp-7643,14.0
mp-7714,75.0
mp-7819,147.0
mp-7877,81.0
mp-7908,29.0
mp-814,82.0
mp-8219,129.0
mp-825,252.0
mp-8389,32.0
mp-8407,57.0
mp-855,100.0
mp-8605,60.0
mp-861624,54.0
mp-861724,72.0
mp-861884,43.0
mp-861930,100.0
mp-861935,145.0
mp-861975,251.0
mp-862258,107.0
mp-862260,78.0
mp-862261,109.0
mp-862337,75.0
mp-862361,141.0
mp-862663,95.0
mp-862666,147.0
mp-862860,72.0
mp-862864,107.0
mp-862927,53.0
mp-862954,109.0
mp-862990,62.0
mp-863677,79.0
mp-863685,79.0
mp-863702,58.0
mp-863703,56.0
mp-863735,126.0
